CLASSE,ESPECIFICACAO,ESPECIFICACOES_CORRELATAS
7,Bombas de combustível para postos de combustível,Cl.1: Preparações para economizar combustível | Cl.4: Álcool [combustível] | Cl.4: Carvão [combustível] | Cl.4: Turfa [combustível] | Cl.4: Combustível* | Cl.4: Combustível mineral | Cl.4: Combustível para iluminação | Cl.4: Gás combustível | Cl.4: Mazut [óleo pesado combustível] | Cl.4: Pó de carvão [combustível] | Cl.4: Combustível para motor | Cl.4: Óleo combustível | Cl.4: Gás solidificado [combustível] | Cl.4: Etanol [combustível] | Cl.4: Lascas de madeira para uso como combustível | Cl.4: Combustível hidrogênio | Cl.12: Tanques de combustível para veículos
7,Bombas autorreguladoras de combustível,Cl.1: Preparações para economizar combustível | Cl.4: Álcool [combustível] | Cl.4: Carvão vegetal [combustível] | Cl.4: Carvão [combustível] | Cl.4: Turfa [combustível] | Cl.4: Combustível* | Cl.4: Combustível mineral | Cl.4: Combustível para iluminação | Cl.4: Gás combustível | Cl.4: Mazut [óleo pesado combustível] | Cl.4: Pó de carvão [combustível] | Cl.4: Combustível para motor | Cl.4: Óleo combustível | Cl.4: Gás solidificado [combustível] | Cl.4: Etanol [combustível] | Cl.4: Combustível à base de biomassa [biocombustível] | Cl.4: Combustível à base de xileno | Cl.4: Lascas de madeira para uso como combustível | Cl.4: Combustível hidrogênio | Cl.8: Bombas manuais * | Cl.8: Bombas de ar manuais | Cl.9: Bombas de incêndio | Cl.10: Bombas para uso medicinal | Cl.10: Bombas para tirar leite | Cl.11: Bombas de calor | Cl.12: Bombas para pneus de bicicletas | Cl.12: Tanques de combustível para veículos | Cl.37: Aluguel de bombas de drenagem
7,Máquinas para o processamento de plásticos,"Cl.1: Plásticos não processados | Cl.9: Máquinas de somar | Cl.9: Máquinas para pesar | Cl.9: Máquinas de calcular | Cl.9: Máquinas de ditar | Cl.9: Máquinas para votar | Cl.16: Máquinas para endereçar | Cl.16: Numeradores [máquinas para numerar] | Cl.16: Sacos plásticos para dejetos de animais de estimação | Cl.17: Filamentos plásticos, exceto para uso têxtil | Cl.19: Limitadores plásticos de grama | Cl.28: Máquinas de videogame [fliperamas] | Cl.35: Processamento de texto | Cl.35: Processamento administrativo de pedidos de compra | Cl.40: Derrubada e processamento de madeira | Cl.40: Processamento de óleo | Cl.40: Processamento de materiais perigosos para descontaminação | Cl.44: Diagnóstico de distúrbios de processamento visual"
7,Dispositivos elétricos para abrir janelas,"Cl.6: Dispositivos metálicos não elétricos para abrir portas | Cl.6: Dispositivos metálicos não elétricos para abrir janelas | Cl.9: Dispositivos elétricos para comutação | Cl.20: Dispositivos não metálicos, não elétricos, para abrir portas | Cl.20: Dispositivos não metálicos, não elétricos, para abrir janelas | Cl.21: Dispositivos elétricos para atrair e matar insetos"
7,Dispositivos elétricos para fechar janelas,"Cl.6: Dispositivos metálicos não elétricos para fechar janelas | Cl.9: Dispositivos elétricos para comutação | Cl.20: Dispositivos não metálicos, não elétricos, para fechar janelas | Cl.21: Dispositivos elétricos para atrair e matar insetos"
7,Dispositivos hidráulicos para abrir janelas,"Cl.6: Dispositivos metálicos não elétricos para abrir janelas | Cl.20: Dispositivos não metálicos, não elétricos, para abrir janelas"
7,Dispositivos hidráulicos para fechar janelas,"Cl.6: Dispositivos metálicos não elétricos para fechar janelas | Cl.20: Dispositivos não metálicos, não elétricos, para fechar janelas"
7,Dispositivos pneumáticos para abrir janelas,"Cl.6: Dispositivos metálicos não elétricos para abrir janelas | Cl.20: Dispositivos não metálicos, não elétricos, para abrir janelas"
7,Dispositivos pneumáticos para fechar janelas,"Cl.6: Dispositivos metálicos não elétricos para fechar janelas | Cl.20: Dispositivos não metálicos, não elétricos, para fechar janelas"
7,Dispositivos hidráulicos para fechar portas,"Cl.6: Molas metálicas para fechar portas, não elétricas | Cl.6: Molas metálicas para fechar portas, não elétricas | Cl.20: Molas para fechar portas, não metálicas, não elétricas"
7,Dispositivos pneumáticos para fechar portas,"Cl.6: Molas metálicas para fechar portas, não elétricas | Cl.6: Molas metálicas para fechar portas, não elétricas | Cl.20: Molas para fechar portas, não metálicas, não elétricas"
7,"Moedores para cozinha, elétricos","Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Exaustores para cozinha | Cl.11: Samovares elétricos | Cl.21: Moedores para cozinha, não elétricos | Cl.21: Moedores manuais para pimenta | Cl.21: Raladores para cozinha | Cl.21: Samovares não elétricos | Cl.21: Moedores manuais para café | Cl.21: Trituradores para uso na cozinha, não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.21: Moedores de carne, não elétricos | Cl.43: Serviços de cozinha fantasma"
7,Macacos pneumáticos,Cl.8: Macacos manuais | Cl.12: Lonas para pneumáticos
7,Impressoras 3d,Cl.6: Metais em folha ou pó para impressoras 3d | Cl.9: Máquinas de telex | Cl.9: Impressoras para uso com computadores* | Cl.9: Óculos 3d | Cl.9: Impressoras de bilhetes | Cl.9: Escâneres [scanners] 3d | Cl.40: Impressão 3d para terceiros
7,Máquinas de peneirar,"Cl.9: Máquinas de somar | Cl.9: Máquinas para contar e separar dinheiro | Cl.9: Máquinas para pesar | Cl.9: Máquinas de calcular | Cl.9: Máquinas de ditar | Cl.9: Instrumentos e máquinas para teste de material | Cl.9: Máquinas de telex | Cl.9: Máquinas para votar | Cl.11: Instalações e máquinas para resfriamento | Cl.11: Máquinas para irrigar, para fins agrícolas | Cl.11: Máquinas para assar pão | Cl.11: Máquinas de café com purificadores de água | Cl.11: Máquinas de fumaça | Cl.11: Máquinas de secagem de louças | Cl.16: Máquinas para endereçar | Cl.16: Máquinas de franquear para uso em escritório | Cl.16: Máquinas para lacrar para escritório | Cl.16: Papel para máquinas registradoras | Cl.16: Máquinas de escritório para fechar envelopes | Cl.16: Numeradores [máquinas para numerar] | Cl.16: Aparelhos e máquinas para mimeografar | Cl.16: Placas de endereçamento para máquinas de endereçar | Cl.20: Suportes para máquinas de calcular | Cl.28: Caça-níqueis [máquinas de jogo] | Cl.28: Máquinas de videogame [fliperamas] | Cl.28: Máquinas lançadoras de bolas"
7,"Coxim de motor, exceto para veículos terrestres","Cl.4: Combustível para motor | Cl.4: Óleo para motor | Cl.11: Degeladores para veículos | Cl.12: Engates para veículos terrestres | Cl.12: Truques para veículos ferroviários | Cl.12: Lagartas para veículos | Cl.12: Para-choques de veículos | Cl.12: Engrenagem para veículos terrestres | Cl.12: Motores elétricos para veículos terrestres | Cl.12: Embreagens para veículos terrestres | Cl.12: Veículos espaciais | Cl.12: Furgões [veículos] | Cl.12: Veículos refrigerados | Cl.12: Motores para veículos terrestres | Cl.12: Motores de propulsão para veículos terrestres | Cl.12: Mecanismos de transmissão para veículos terrestres | Cl.12: Mecanismos de propulsão para veículos terrestres | Cl.12: Motores a jato para veículos terrestres | Cl.12: Rodas livres para veículos terrestres | Cl.12: Veículos náuticos | Cl.12: Turbinas para veículos terrestres | Cl.12: Estofamentos para veículos | Cl.12: Bicicleta a motor | Cl.12: Buzinas para veículos | Cl.12: Caixas de câmbio para veículos terrestres | Cl.12: Correntes de comando para veículos terrestres | Cl.12: Correntes de transmissão para veículos terrestres | Cl.12: Conversor de torque para veículos terrestres | Cl.12: Engrenagens de redução para veículos terrestres | Cl.12: Bielas para veículos terrestres, exceto peças de motores | Cl.12: Painel elevador de carroceria [partes de veículos terrestres] | Cl.12: Eixos de transmissão para veículos terrestres | Cl.12: Veículos motorizados para acampamento [motor home] | Cl.12: Patinetes [veículos] | Cl.12: Spoilers para veículos | Cl.12: Veículos blindados | Cl.12: Coxim de motor para veículos terrestres | Cl.12: Retrovisores laterais para veículos | Cl.12: Veículos anfíbios | Cl.12: Veículos todo o terreno | Cl.12: Atuadores lineares pneumáticos ou hidráulicos para veículos terrestres | Cl.12: Veículos terrestres autônomos | Cl.12: Revestimentos para embreagem para veículos terrestres | Cl.42: Vistoria de veículos automotores"
7,"Extratores de pregos, elétricos","Cl.6: Pregos de metal | Cl.6: Pregos de metal para sapatos | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Arranca-pregos [ferramentas manuais] | Cl.8: Punções para pregos | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.10: Extratores de comedões para uso médico | Cl.11: Samovares elétricos | Cl.12: Pregos para pneus | Cl.20: Pregos não metálicos para sapatos | Cl.20: Pregos, não metálicos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.21: Extratores de comedão para fins cosméticos | Cl.6: Pregos de metal | Cl.6: Pregos de metal para sapatos | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Arranca-pregos [ferramentas manuais] | Cl.8: Punções para pregos | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Esquenta-pés, elétricos ou não elétricos | Cl.11: Desidratadores de alimentos, elétricos | Cl.11: Samovares elétricos | Cl.12: Pregos para pneus | Cl.16: Apontadores de lápis, elétricos ou não elétricos | Cl.20: Pregos não metálicos para sapatos | Cl.20: Pregos, não metálicos | Cl.21: Defumadores [perfumadores], elétricos e não elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não"
7,"Sacadores de pregos, elétricos","Cl.6: Pregos de metal | Cl.6: Pregos de metal para sapatos | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Arranca-pregos [ferramentas manuais] | Cl.8: Punções para pregos | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.10: Extratores de comedões para uso médico | Cl.11: Samovares elétricos | Cl.12: Pregos para pneus | Cl.20: Pregos não metálicos para sapatos | Cl.20: Pregos, não metálicos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.21: Extratores de comedão para fins cosméticos | Cl.6: Pregos de metal | Cl.6: Pregos de metal para sapatos | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Sacadores de pregos, operados manualmente | Cl.8: Arranca-pregos [ferramentas manuais] | Cl.8: Punções para pregos | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Esquenta-pés, elétricos ou não elétricos | Cl.11: Desidratadores de alimentos, elétricos | Cl.11: Samovares elétricos | Cl.12: Pregos para pneus | Cl.16: Apontadores de lápis, elétricos ou não elétricos | Cl.20: Pregos não metálicos para sapatos | Cl.20: Pregos, não metálicos | Cl.21: Defumadores [perfumadores], elétricos e não elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não"
7,Escovas para aspiradores de pó,"Cl.5: Pó de cantáridas | Cl.5: Pó de píretro | Cl.10: Aspiradores nasais | Cl.21: Escovas * | Cl.21: Aspiradores de pó, não elétricos | Cl.21: Escovas para esfregar | Cl.21: Refis para escovas de dente elétricas"
7,"Afiador de esquis, elétricos","Cl.4: Cera para esquis | Cl.8: Afiador de esquis operado manualmente | Cl.8: Raspadores para esquis | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Esquenta-pés, elétricos ou não elétricos | Cl.11: Desidratadores de alimentos, elétricos | Cl.11: Samovares elétricos | Cl.12: Porta-esquis para automóveis | Cl.16: Apontadores de lápis, elétricos ou não elétricos | Cl.21: Defumadores [perfumadores], elétricos e não elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.28: Arestas de esquis | Cl.28: Fixadores de esquis [calços de segurança] | Cl.28: Peles de foca [revestimentos de esquis] | Cl.28: Revestimentos de esquis | Cl.28: Esquis | Cl.28: Esquis aquáticos | Cl.28: Bolsas especialmente concebidas para esquis"
7,Trituradores,"Cl.10: Trituradores de comprimidos | Cl.21: Trituradores para uso na cozinha, não elétricos"
7,Bocais de sucção para aspiradores de pó,"Cl.5: Pó de cantáridas | Cl.5: Pó de píretro | Cl.10: Aspiradores nasais | Cl.21: Aspiradores de pó, não elétricos"
7,Pigs para limpeza de dutos,Cl.3: Cinza vulcânica para limpeza | Cl.3: Giz para limpeza | Cl.3: Óleos para limpeza | Cl.3: Leites de limpeza para toalete | Cl.3: Líquidos para limpeza de para-brisa | Cl.6: Armaduras de metal para dutos de ar comprimido | Cl.9: Dutos acústicos | Cl.9: Dutos [eletricidade] | Cl.11: Dutos de ventilação | Cl.11: Dutos de ventilação para laboratórios | Cl.12: Carrinhos de limpeza | Cl.21: Panos de limpeza | Cl.21: Refugos de lã para limpeza | Cl.21: Esfregões para limpeza | Cl.21: Estopa para limpeza | Cl.37: Limpeza de interiores de edifícios | Cl.37: Limpeza de chaminé | Cl.37: Limpeza de janelas | Cl.37: Limpeza de roupas | Cl.37: Limpeza de veículo | Cl.37: Limpeza de fachada de edificações
7,"Extratores de suco, elétricos","Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.10: Extratores de comedões para uso médico | Cl.11: Samovares elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.21: Extratores de comedão para fins cosméticos | Cl.29: Suco de tomate para cozinha | Cl.29: Suco de limão para fins culinários | Cl.30: Suco de limão cristalizado [tempero] | Cl.32: Sucos de frutas | Cl.32: Suco de tomate [bebida] | Cl.40: Extração de suco de frutas"
7,"Chaves de fenda, elétricas","Cl.6: Chaves de metal | Cl.8: Chaves de fenda do tipo ""catraca"" [ferramentas manuais] | Cl.8: Chaves de fenda, não elétricas | Cl.9: Resistências elétricas | Cl.11: Adegas elétricas | Cl.11: Tagines [panela marroquina], elétricas | Cl.11: Cafeteiras, elétricas | Cl.15: Chaves de afinar | Cl.18: Porta-chaves | Cl.21: Enceradeiras não elétricas | Cl.21: Fritadeiras, não elétricas | Cl.21: Cafeteiras não elétricas | Cl.21: Cuscuzeiras, não elétricas | Cl.21: Tagines [panela marroquina], não elétricas | Cl.40: Copiagem de chaves"
7,"Joysticks como parte de máquinas, exceto para máquinas de jogos","Cl.9: Máquinas de somar | Cl.9: Máquinas para pesar | Cl.9: Máquinas de calcular | Cl.9: Máquinas de ditar | Cl.9: Máquinas para votar | Cl.9: Para-sol [parte de câmera fotográfica] | Cl.16: Máquinas para endereçar | Cl.16: Numeradores [máquinas para numerar] | Cl.16: Figurinhas, exceto para jogos | Cl.25: Forros confeccionados [parte de vestuário] | Cl.28: Jogos de construção | Cl.28: Jogos de tabuleiro | Cl.28: Jogos* | Cl.28: Aparatos para jogos | Cl.28: Máquinas de videogame [fliperamas] | Cl.28: Jogos educativos* | Cl.41: Serviços de biblioteca de jogos"
7,Aspiradores de óleo usado pneumáticos,"Cl.1: Dispersantes para óleo | Cl.4: Gasóleo | Cl.4: Òleo de coltar [óleo de alcatrão de hulha] | Cl.4: Óleo umectante | Cl.4: Óleo industrial | Cl.10: Aspiradores nasais | Cl.11: Aparelhos para depuração de óleo | Cl.12: Lonas para pneumáticos | Cl.17: Vedações para óleo | Cl.21: Aspiradores de pó, não elétricos"
7,Bombas para natação contracorrente,Cl.5: Fraldas de natação descartáveis para bebês | Cl.5: Fraldas de natação reutilizáveis para bebês | Cl.8: Bombas manuais * | Cl.9: Bombas de incêndio | Cl.10: Bombas para uso medicinal | Cl.10: Bombas para tirar leite | Cl.10: Prendedores de nariz para natação | Cl.11: Bombas de calor | Cl.12: Bombas para pneus de bicicletas | Cl.25: Toucas de natação | Cl.28: Nadadeiras para natação | Cl.28: Pranchas de natação | Cl.28: Cintos de natação | Cl.28: Coletes de natação | Cl.28: Membranas para natação | Cl.28: Membranas para natação | Cl.37: Aluguel de bombas de drenagem
7,Canetas de impressão em 3d,Cl.9: Óculos 3d | Cl.9: Escâneres [scanners] 3d | Cl.16: Canetas | Cl.16: Estojos para canetas | Cl.16: Canetas-tinteiro | Cl.16: Porta-canetas | Cl.16: Tinteiros porta-canetas | Cl.17: Filamentos plásticos para impressão 3d | Cl.40: Impressão de estampas | Cl.40: Impressão fotográfica | Cl.40: Impressão litográfica | Cl.40: Impressão | Cl.40: Impressão ofsete | Cl.40: Impressão 3d para terceiros
7,Máquinas de arar para uso agrícola,Cl.1: Fuligem para uso industrial ou agrícola | Cl.1: Genes de sementes para produção agrícola | Cl.6: Cintas de metal para uso agrícola | Cl.22: Cintas não metálicas para uso agrícola
7,"Cortadores de legumes em espirais, elétricos","Cl.8: Cortadores de unhas, elétricos ou não | Cl.8: Cortadores [ferramentas manuais] | Cl.8: Cortadores de pizza, não elétricos | Cl.8: Espiralizadores manuais de legumes | Cl.8: Cortadores de frutas em fatias | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.10: Cortadores de comprimidos | Cl.11: Samovares elétricos | Cl.21: Samovares não elétricos | Cl.21: Cortadores modeladores de biscoito [artigo de cozinha] | Cl.21: Cortadores de massa [espátula de padeiro] | Cl.21: Papa-bolinhas, elétricos ou não | Cl.29: Saladas de legumes | Cl.34: Cortadores de charuto"
7,Bombas distribuidoras de hidrogênio para postos de combustível,Cl.1: Hidrogênio | Cl.4: Combustível* | Cl.4: Etanol [combustível] | Cl.4: Combustível hidrogênio | Cl.12: Carros movidos a hidrogênio
7,Máquinas industriais de impressão a jato de tinta,Cl.2: Têmpera [tinta] | Cl.2: Tinta para gravura | Cl.2: Tinta para tatuagem | Cl.8: Mexedores de tinta [palito] | Cl.16: Tinta nanquim | Cl.16: Fitas de tinta | Cl.37: Serviços de recarga de cartuchos a jato de tinta | Cl.40: Impressão de estampas | Cl.40: Impressão fotográfica | Cl.40: Impressão litográfica | Cl.40: Impressão | Cl.40: Impressão ofsete
7,Esfregões a vapor,Cl.11: Purgadores para instalação de aquecimento a vapor | Cl.11: Instalações geradoras de vapor | Cl.11: Acumuladores de vapor | Cl.11: Passadeiras a vapor | Cl.21: Esfregões metálicos para arear | Cl.21: Esfregões | Cl.21: Esfregões para limpeza | Cl.21: Esfregões abrasivos para cozinha | Cl.21: Esfregões com sistema de torção | Cl.21: Baldes para esfregões com sistema de torção
7,"Trajes exoesqueléticos robóticos, exceto para fins medicinais","Cl.3: Preparações para banho, exceto para fins medicinais | Cl.5: Preparações para banhos com fins medicinais | Cl.5: Cocaína para fins medicinais | Cl.5: Pão para diabéticos, para fins medicinais | Cl.5: Infusões medicinais | Cl.5: Jujubas medicinais | Cl.5: Oxigênio para fins medicinais | Cl.5: Preparações fitoterápicas para fins medicinais | Cl.5: Extratos de ervas para fins medicinais | Cl.5: Preparações nutracêuticas para fins medicinais ou terapêuticos | Cl.5: Comida liofilizada, adaptada para fins medicinais | Cl.5: Comida homogeneizada para fins medicinais | Cl.5: Seringas pré-abastecidas para fins medicinais | Cl.5: Carne liofilizada adaptada para fins medicinais | Cl.5: Adstringentes para fins medicinais | Cl.5: Cilindros de oxigênio, cheios, para fins medicinais | Cl.8: Dispositivos depilatórios a laser, exceto para fins medicinais | Cl.9: Trajes para proteção de aviadores | Cl.9: Aparelhos para monitoramento, exceto para fins medicinais | Cl.9: Máscaras para proteção, exceto para fins medicinais | Cl.9: Densitômetros, exceto para fins medicinais | Cl.9: Trajes hápticos, exceto para fins medicinais | Cl.9: Capacetes neurais, exceto para fins medicinais | Cl.9: Aparelhos de imagem ultrassônicos, exceto para fins medicinais | Cl.10: Protetores de dedo para fins medicinais | Cl.10: Trajes exoesqueléticos robóticos para uso médico | Cl.10: Trajes hápticos para fins medicinais | Cl.10: Capacetes neurais para fins medicinais | Cl.12: Trajes de mergulho atmosférico (ADS) | Cl.25: Trajes | Cl.25: Trajes de banho | Cl.30: Infusões, exceto infusões medicinais | Cl.34: Sachês de nicotina como substituto do tabaco, exceto para fins medicinais | Cl.45: Aluguel de trajes a rigor"
7,Guindastes móveis,"Cl.3: Cera para assoalhos e móveis | Cl.6: Rodízios de metal para móveis | Cl.6: Guarnições de metal para móveis | Cl.6: Cantoneiras de metal para móveis | Cl.10: Móveis especiais para uso medicinal | Cl.16: Materiais de escritório, exceto móveis | Cl.18: Enfeites de couro para móveis | Cl.18: Capas de couro para móveis | Cl.20: Bancos [móveis] | Cl.20: Móveis para escritório | Cl.20: Arquivos para fichas [móveis] | Cl.20: Arquivos [móveis] | Cl.20: Apoio de cabeça [móveis] | Cl.20: Guarnições não metálicas para móveis | Cl.20: Jardineiras [móveis] | Cl.20: Móveis de metal | Cl.20: Divisórias de madeira para móveis | Cl.20: Rodízios não metálicos para móveis | Cl.20: Portas para móveis | Cl.20: Prateleiras para móveis | Cl.20: Acabamentos de plástico para móveis | Cl.20: Canapés [móveis] | Cl.20: Vitrines [móveis] | Cl.20: Bancadas de tornos [móveis] | Cl.20: Carrinhos de servir à mesa [móveis] | Cl.20: Porta-livros [móveis] | Cl.20: Toalheiros de chão [móveis] | Cl.20: Divisórias [móveis] | Cl.20: Cantoneiras não metálicas para móveis | Cl.20: Toucadores para banheiro [móveis] | Cl.20: Gavetas para móveis | Cl.21: Espanadores de móveis | Cl.24: Capas [soltas] para móveis | Cl.24: Capas de plástico para móveis | Cl.24: Capas para móveis, de tecido | Cl.36: Serviços bancários móveis | Cl.37: Estofamento de móveis | Cl.37: Serviços de montagem relacionados à instalação de móveis | Cl.39: Transporte de móveis | Cl.43: Aluguel de móveis | Cl.43: Aluguel de móveis de escritório"
7,"Unidades flutuantes de produção, armazenamento e transferência [FPSO]",Cl.17: Barreiras flutuantes antipoluição | Cl.41: Produção de podcasts
7,"Fatiadores de queijo, elétricos","Cl.8: Fatiadores de queijo, não elétricos | Cl.8: Fatiadores de ovos, não elétricos | Cl.8: Fatiadores de frutas manuais | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Samovares elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.24: Panos para queijo | Cl.29: Bolinhos fritos de queijo cottage | Cl.29: Quark [queijo] | Cl.29: Queijo cottage"
7,"Descascadores de legumes, elétricos","Cl.8: Espiralizadores manuais de legumes | Cl.8: Descascadores de legumes, operados manualmente | Cl.9: Contatos elétricos | Cl.9: Interruptores elétricos | Cl.9: Plugues elétricos [conector macho] | Cl.9: Relés elétricos | Cl.9: Adaptadores elétricos | Cl.9: Chicotes elétricos automotivos | Cl.9: Soquetes elétricos | Cl.11: Samovares elétricos | Cl.21: Samovares não elétricos | Cl.21: Papa-bolinhas, elétricos ou não | Cl.29: Saladas de legumes"
7,Elevadores de grãos,Cl.9: Transformadores elevadores | Cl.10: Guinchos elevadores de pacientes | Cl.12: Elevadores para esqui | Cl.30: Anis [grãos] | Cl.30: Grãos de café não torrados | Cl.30: Grãos de café torrados | Cl.31: Grãos [cereais] | Cl.31: Grãos para consumo animal | Cl.31: Sementes para plantio | Cl.31: Grãos de soja frescos | Cl.37: Instalação e reparo de elevadores
7,Máquinas de lavar roupa com função de secagem,Cl.3: Agentes de secagem para lava-louças | Cl.3: Detergentes para lava-louças | Cl.11: Máquinas de secagem de louças | Cl.21: Bacias para lavar roupa | Cl.21: Varais de roupa | Cl.21: Pregadores para roupa | Cl.21: Bolas de secagem | Cl.37: Aluguel de máquinas de lavar roupas | Cl.37: Aluguel de lava-louças
7,Dispositivos de lavagem ultrassônica portáteis para lavanderia,"Cl.3: Anil para lavanderia | Cl.3: Casca de quilaia para lavagem | Cl.3: Produtos para lavanderia | Cl.3: Amaciantes de tecidos [lavanderia] | Cl.9: Dispositivos respiratórios para nado subaquático | Cl.9: Tocadores portáteis de mídia | Cl.10: Dispositivos intrauterinos | Cl.11: Caldeiras de lavanderia | Cl.11: Forjas portáteis | Cl.20: Escrivaninhas portáteis | Cl.21: Geleiras portáteis, não elétricas | Cl.37: Lavanderia | Cl.37: Lavagem de veículos | Cl.37: Lavagem de roupa | Cl.37: Lavagem | Cl.37: Lavagem de fraldas | Cl.37: Lavagem a seco | Cl.43: Aluguel de vestiários portáteis"
7,"Fatiadores de verduras e legumes, elétricos","Cl.8: Fatiadores de verduras e legumes, operados manualmente | Cl.8: Instrumentos para picar verduras e legumes | Cl.8: Fatiadores de queijo, não elétricos | Cl.8: Fatiadores de ovos, não elétricos | Cl.8: Facas para cortar verduras e legumes | Cl.8: Fatiadores de frutas manuais | Cl.21: Travessas para frutas, legumes e verduras | Cl.29: Legumes e verduras em conserva | Cl.29: Legumes e verduras cozidos | Cl.29: Legumes e verduras secos | Cl.29: Preparações para sopas [frutas, legumes e verduras] | Cl.29: Saladas de legumes | Cl.29: Legumes e verduras enlatados | Cl.29: Legumes e verduras processados | Cl.29: Legumes e verduras cortados | Cl.31: Legumes e verduras frescos | Cl.32: Sucos de frutas, verduras e legumes [bebidas]"
7,Máquinas para gerar gás por eletrólise,"Cl.1: Preparações para purificação do gás | Cl.4: Gás para iluminação | Cl.4: Gás combustível | Cl.4: Gás de óleo | Cl.4: Gás solidificado [combustível] | Cl.4: Gás pobre | Cl.4: Gás natural | Cl.9: Máquinas de somar | Cl.9: Máquinas para pesar | Cl.9: Máquinas de calcular | Cl.9: Máquinas de ditar | Cl.9: Aparelhos para análise de gás | Cl.9: Máquinas para votar | Cl.11: Acendedores por fricção para ignição de gás | Cl.11: Acendedor de gás | Cl.11: Aparelhos para depuração de gás | Cl.11: Depuradores de gás [partes de instalações de gás] | Cl.11: Queimadores de gás | Cl.11: Caldeiras a gás | Cl.11: Lâmpadas a gás | Cl.11: Queimadores de gás oxídrico | Cl.11: Suportes para queimadores de gás | Cl.11: Condensadores de gás, exceto peças de máquinas | Cl.11: Aparelhos de adsorção para geração de gás | Cl.11: Aparelhos de membrana para geração de gás | Cl.13: Armas de gás lacrimogêneo | Cl.16: Máquinas para endereçar | Cl.16: Numeradores [máquinas para numerar] | Cl.28: Máquinas de videogame [fliperamas]"
7,Aspiradores de pó estacionários sem contato,"Cl.5: Pó de cantáridas | Cl.5: Pó de píretro | Cl.10: Aspiradores nasais | Cl.21: Aspiradores de pó, não elétricos"
7,Biorreatores para uso na fabricação de biofármacos,Cl.1: Antioxidantes para uso em fabricação | Cl.1: Óleos essenciais para uso em fabricação | Cl.1: Almíscar para uso em fabricação | Cl.1: Vanilina para uso em fabricação | Cl.4: Lanolina para uso na fabricação de cosméticos | Cl.9: Biorreatores para uso laboratorial | Cl.11: Biorreatores para uso no tratamento de águas residuais | Cl.11: Biorreatores para uso no tratamento de resíduos | Cl.40: Fabricação de pães sob encomenda
