marca_base,ncl_base,spec_base,marca_rpi,ncl_rpi,spec_rpi,colide
LIFE PARTICIPAÇÕES,41,"s por correspondência; de [ ou ]; de para ou s; e de s; e de s; e de s; e de s de []; e de s; e de s; e e de ; orientação []; serviços de ; serviços de instrução; prático []; , e em [instrução]; , e em [][]; , e ; de ; s es []; de s [se s/];",LIFE CONFERENCE AMAZON,41,"aluguel de equipamento de lazer;, e em atividades desportivas e ;, e em [lazer];, e em [][];coaching [];cronometragem de s desportivos; de ;s es [];decoração de festas, cerimônias e s;distribuição de brinquedos para caridade; física;locutor de s; de bailes; de [ ou ]; de desportivas; de esportivas eletrônicas; de cons de beleza; de cons de beleza para animais; de desfiles de moda para de ; de espetáculos [shows] [serviços de empresário]; de esportivo, a saber, torneio de capoeira; de s de assunç",S
JÚNIOR PASTÉIS,40,beneficiamento de alimentos;congelamento de alimentos;conservação de alimentos e bebidas;,CHICKEN JUNIOR,29,aves não vivas;,S
F E C VERSATIL ACESSÓRIOS,35,comércio [através de qualquer meio] de s do ;comércio [através de qualquer meio] de s;,VERSÁTIL BEACH,25,s de chapelaria;s de malha [];baby-doll;bandanas;bermuda para prática de esporte;biquíni;body [ íntima];boné;calção para banho;camisas;camisetas regata para a prática de esportes;canga;chinelos de banho;lingerie;maiô;malhas []; íntima; para ginástica;s de banho;s de praia;sandálias;sungas; *; para ciclistas;viseiras [chapelaria];,S
MF ESQUADRIAS,35,", e ao consumidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet;, e em gestão de negócios e comercialização de produtos sob contrato de franquia;comércio (através de qualquer meio) de materiais de metálicos;comércio (através de qualquer meio) de materiais de não metálicos;comércio (através de qualquer meio) de metais comuns e suas ligas;comércio (através de qualquer meio) de produtos de metal comum;comércio (através de qualquer meio) de",MF CONSTRUÇÃO,37,", e em ;; e reparação de obra civil; e reparação em colocação de alvenaria;ferramentaria manual [reparação, montagem e ];serviços de alvenaria;serviços de construtor;",S
LIV GESTÃO DE CONDOMÍNIOS,36,de condomínio;,"ORGANIZE SUA VIDA FINANCEIRA, SEJA LIVRE, SEJA LIV.",36,"de assuntos financeiros; de seguro; de seguro-saúde; financeira; assessoria financeira; assessoria, consultoria e informação em de riscos financeiros; assessoria, consultoria e informação em crédito; assessoria, consultoria e informação em empréstimos; assessoria, consultoria e informação em fundo de investimentos; assessoria, consultoria e informação em investimentos; assessoria, consultoria e informação em seguros; assessoria, consultoria e informação especializada em matéria de previdência pr",S
REAL AGRONEGÓCIO COMERCIO DE INSUMOS E CEREAIS,39,"armazenagem;armazenagem de mercadorias;assessoria, consultoria e informação em s;corretagem de ; de mercadorias para terceiros [];intermediação de ;logística de para terceiros [armazenagem e ];; por ;",REAL LOCAÇÕES E SERVIÇOS,39,"atividades relacionadas a esgoto, exceto a gestão de redes, tratamento e disposição de resíduos não-perigosos, tratamento e disposição de resíduos perigosos. montagem e desmontagem de andaimes e outras estruturas temporárias, aluguel de equipamentos agrícolas sem operador, aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes, aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador.;",S
LOGAN REMOVAL,37,"coleta de materiais, exceto e armazenamento, desde que incluídos nesta classe; consultoria técnica em coleta (seleção de materiais).;",LOGAN EXPRESS,39,entrega de mercadorias;frete [ de mercadorias];serviços de logística em matéria de ;;,S
LÓTUS LINGERIE,40,alfaiataria;ateliê de costura;confecção de do sob encomenda;confecção de s;,LOTUS D'SANT,35,comércio [através de qualquer meio] de s do ;comércio [através de qualquer meio] de s;,S
LÓTUS LINGERIE,40,alfaiataria;ateliê de costura;confecção de do sob encomenda;confecção de s;,LOTUS D'SANT,25,s de malha [];baby-doll;bermudas;bonés;calção para banho;calcinhas;calções de banho;calções de banho [sungas];camisetas;camisola;casacos [capotes];casacos [jaquetas];combinação [ íntima];cuecas;cuecas boxer;cuecas samba-canção;leggings [calças];lingerie;pijamas;rash guards [camisa de compressão para prática esportiva]; íntima;sungas;,S
THE CIVETTA COFFEE CO.,30,em grão; em pó; não torrado; solúvel;;,MONTE CIVETTA,43,"assessoria, consultoria e informação em culinária;assessoria, consultoria e informação relativa à produção de alimento;assessoria, consultoria e informações sobre restaurante;cyber [fornecimento de comida e bebida];fornecimento de cestas de da manhã [serviços de alimentação];padaria [fornecimento de comidas e bebidas para consumo imediato];serviços de cafeteria;serviços de cantinas;serviços de lanchonetes;serviços de sorveteria, preparação de taças e buffet de sorvetes e gelados para consumo no ",S
IDEAL IMÓVEIS,36,de ; de escritórios []; ; ; de ; serviços de s s; serviços de s s de de apartamentos; de escritório virtual [ de comercial]; de loja []; comércio de ; e de ; de ; leasing de ; ;,I.DEAL HOSPEDAGEM E GESTÃO DE IMÓVEIS,36,"de ;assessoria, consultoria e informação em ; ;comércio de ; e de ; ; de ; de ; ;serviços de s s;serviços de cobrança de ;serviços s;",S
IDEAL IMÓVEIS,36,administração de imóveis; de escritórios [imóveis]; avaliação imobiliária; corretagem imobiliária; locação de imóveis; serviços de agências imobiliárias; serviços de agências imobiliárias de locação de apartamentos; de escritório virtual [ de imóvel ]; de loja [imóvel]; comércio de imóveis; compra e de imóveis; incorporação de imóvel; leasing de imóveis; loteamento imobiliário;,I.DEAL HOSPEDAGEM E GESTÃO DE IMÓVEIS,35,"agenciamento de mercadoria [intermediação]; de estande de s;assessoria, consultoria e informação em promoção de s;edição de texto publicitário;marketing;marketing direcionado;organização de exposições para fins ou publicitários;publicação de textos publicitários;publicidade;publicidade on-line em rede de computadores;publicidade por mala direta;",S
IDEAL IMÓVEIS,36,administração de imóveis; de escritórios [imóveis]; avaliação imobiliária; corretagem imobiliária; locação de imóveis; serviços de s imobiliárias; serviços de s imobiliárias de locação de apartamentos; de escritório virtual [ de imóvel comercial]; de loja [imóvel]; comércio de imóveis; compra e venda de imóveis; incorporação de imóvel; leasing de imóveis; loteamento imobiliário;,I.DEAL HOSPEDAGEM E GESTÃO DE IMÓVEIS,43,"de acomodação em viagens; de acomodações temporárias;assessoria, consultoria e informação em viagens [alojamento e reservas];reservas de acomodações temporárias;reservas em hotéis;serviços de acomodação em hotel;serviços de acomodação, em casas, para turistas;serviços de s de acomodações [hotéis, pensões];serviços de recepção para acomodação temporária [entrega de chaves];serviços de recepção para acomodações temporárias [gerenciamento de chegadas e partidas];spa [serviço de hospedagem e forneci",S
IDEAL IMÓVEIS,36,administração de imóveis; aluguel de escritórios [imóveis]; avaliação imobiliária; corretagem imobiliária; locação de imóveis; serviços de agências imobiliárias; serviços de agências imobiliárias de locação de apartamentos; aluguel de escritório virtual [aluguel de imóvel comercial]; aluguel de loja [imóvel]; comércio de imóveis; compra e venda de imóveis; incorporação de imóvel; leasing de imóveis; loteamento imobiliário;,I.DEAL HOSPEDAGEM E GESTÃO DE IMÓVEIS,38,"comunicação por terminais de computador;correio [transmissão de mensagem];distribuição de vídeos on-line [streaming de vídeos];fornecimento de mecanismos de busca para a obtenção, manutenção e distribuição de dados a partir de um banco de dados localizado em uma rede mundial de computadores [provimento de acesso a um website];provimento de acesso a banco de dados;provimento de acesso à rede global de computadores;provimento de conexões de telecomunicações para uma rede mundial de computadores;pr",S
MEGA TOLDOS,40,"montagem de sob encomenda de terceiros (toldos), desde que incluídos nesta classe.;",MEGA MARMORES,19,"ardósia;balcão [varanda ou sacada];basalto;batentes para portas, não metálicos;bustos de pedra, concreto ou mármore;degraus não metálicos para escadas;estátuas de pedra, concreto ou mármore;estatuetas de pedra, concreto ou mármore;estruturas não metálicas para construção;granito;ladrilhos não metálicos para construção;lajes tumulares [lápides];lápides não metálicas para túmulos;mármore;marquises [estruturas] não metálicas para construção;molduras de lareira, não metálicas;monumentos funerários n",S
BOX DA LULU SALADERIA,43,serviços de bar; serviços de s; serviços de s;,BARRACA DA LULU CAFÉ E RESTAURANTE,43,serviços de s; serviços de s de autosserviço; fornecimento de alimentos preparados; s;,S
QUERO+ AÇAÍ,40,beneficiamento de alimentos;congelamento de alimentos;conservação de alimentos e bebidas;extração de suco de frutas;,QUERO SORVETES,30,gelo [água congelada];gelo natural ou artificial;picolés;sorvete de açaí;sorvetes;,S
LUCIANO TURISMO,39,"acompanhamento de viajantes; aluguel de veículos; organização de cruzeiros [viagens]; organização de para excursões; reserva de assentos para viagem; reservas para viagens; serviços de para visitas turísticas; de viajantes; fornecimento de orientação de rotas para viagens; agência de viagem, exceto reserva de hotel; agente de viagem; assessoria, consultoria e informação em viagem e turismo; guia de turismo;",LUCIANO SERVIÇOS DE ENTREGA,39,entrega de malote; entrega de mercadorias; entrega de mercadorias por catálogo; entrega de pacotes; frete [ de mercadorias].;,S
ELETROMIL E UM ENERGIA RENOVÁVEL,40,"aluguel de s para aquecimento de ambientes;aluguel de aquecedores;aluguel de geradores de ;assessoria, consultoria e informação em de ;geração de e capacidade ; de ;",ELETROMIL MATERIAIS ELÉTRICOS,9,"acumuladores elétricos;adaptadores elétricos;antenas; para , distribuição e conversão de ;s de transmissão [telecomunicação];s elétricos medidores;s elétricos para controle;aplicativos, baixáveis;cabine de distribuição de ;cabo para bateria [];cabos coaxiais;cabos de fibra óptica;cabos elétricos;caixa de fusíveis [];caixas de acumuladores [baterias];caixas de distribuição [];caixas de junção [];capacitores [condensadores elétricos];centrais [hubs] de automação residenciais;centrais [hubs] para c",S
L&Z VIDROS E ESQUADRIAS,19,"granulados de vidro para marcação de estradas;vidraças para ;vidraças, exceto vidros para janelas de automóveis;vidro de alabastro para ;vidro de ;vidro de segurança;vidro esmaltado para ;vidro isolante para ;vidro para janela de dupla camada para isolamento térmico e acústico;vidros para [vidraças];",LZ - ATACADÃO DA CONSTRUÇÃO,6,"ferragens para ;materiais de refratários, metálicos;materiais de metal para ;painéis de metal para ;telhas de metal;tubos de metal;vergalhão;vigas de metal para civil;",S
L&Z VIDROS E ESQUADRIAS,19,"granulados de vidro para marcação de estradas;vidraças para construção;vidraças, exceto vidros para janelas de automóveis;vidro de alabastro para construção;vidro de construção;vidro de segurança;vidro esmaltado para construção;vidro para construção;vidro para janela de dupla camada para isolamento térmico e acústico;vidros para construção [vidraças];",LZ - ATACADÃO DA CONSTRUÇÃO,17,"anéis de vedação;bocais/bicos para mangueiras de água;s;s para cabos de eletricidade;juntas de vedação;mangueiras de água;mangueiras flexíveis, não metálicas;materiais s;",S
L&Z VIDROS E ESQUADRIAS,19,"granulados de vidro para marcação de estradas;vidraças para construção;vidraças, exceto vidros para janelas de automóveis;vidro de alabastro para construção;vidro de construção;vidro de segurança;vidro esmaltado para construção;vidro isolante para construção;vidro para janela de dupla camada para isolamento térmico e acústico;vidros para construção [vidraças];",LZ - ATACADÃO DA CONSTRUÇÃO,7,"betoneiras [máquinas];furadeiras elétricas, manuais;pás mecânicas;",S
L&Z VIDROS E ESQUADRIAS,19,"granulados de vidro para marcação de estradas;vidraças para ;vidraças, exceto vidros para janelas de automóveis;vidro de alabastro para ;vidro de ;vidro de segurança;vidro esmaltado para ;vidro isolante para ;vidro para janela de dupla camada para isolamento térmico e acústico;vidros para [vidraças];",LZ - ATACADÃO DA CONSTRUÇÃO,19,argamassa;azulejos não metálicos para ;blocos não metálicos para pavimentação;cimento *; não metálicas;telhas não metálicas;vigas não metálicas;,S
L&Z VIDROS E ESQUADRIAS,19,"granulados de vidro para marcação de estradas;vidraças para ;vidraças, exceto vidros para janelas de automóveis;vidro de alabastro para ;vidro de ;vidro de segurança;vidro esmaltado para ;vidro isolante para ;vidro para janela de dupla camada para isolamento térmico e acústico;vidros para [vidraças];",LZ - ATACADÃO DA CONSTRUÇÃO,35,comércio [através de qualquer meio] de artigos de ferragem;comércio [através de qualquer meio] de ferramentas manuais;comércio [através de qualquer meio] de máquinas-ferramentas;comércio [através de qualquer meio] de materiais de metálicos;comércio [através de qualquer meio] de materiais de não metálicos;,S
ADEGA BIG SHARK,35,"comércio (através de qualquer meio) de s do ;propaganda;publicidade;serviços de intermediação comercial na venda de ingressos; assessoria, consultoria e informação em gestão de negócios e empresas; comercialização de produtos sob contrato de franquia; franchising [sistema pelo qual empresa detentora de uma marca registrada, processo patenteado de produção ou direitos similares concede a outras empresas licença de utilização dessas marcas ou processos, sob certas condições ? administração de negó",BIG SHARK,25,s de malha [];bandanas;bonés;calças compridas;camisas*;camisetas;casacos [jaquetas];cintos [];coletes*;leggings [calças];macacões;meias*;pijamas;saias;suéteres;vestidos; *;,S
BODEGA ROMA,33,"absinto [ alcoólica];aguardente de cana;aguardente destilada de vinho ou de de s;anis [licor];anisete [licor de anis];aperitivos *;s alcoólicas à de cana-de-açúcar;s alcoólicas contendo s;s alcóolicas prontas;s alcoólicas, exceto ;s amargas [licor];s destiladas;bitter;brandy [];coquetéis *;curaçau;destiladas [s alcoólicas] [espirituosas];digestivos [licores e destilados];gim;hidromel [mulso];licores;licores de menta;mosto de pêra [vinho de pêra];mulso [hidromel];quirche [kirsch];rum;saquê;sidra;",ROMA SUPLEMENTOS,35,"envasamento e empacotamento sob contrato. geral, com predominância; comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente; comércio de produtos alimentícios não especificados anteriormente;",S
EMPÓRIO SOUZA,35,"assessoria, consultoria e informação em gestão de negócios e empresas; comercialização de s sob contrato de franquia; franchising [sistema pelo qual empresa detentora de uma marca registrada, processo patenteado de produção ou direitos similares concede a outras empresas licença de utilização dessas marcas ou processos, sob certas condições ? administração de negócios]; gestão de franquia; assessoria, consultoria e informação ao consumidor sobre s e respectivos preços, s de websites, em conexão ",MERCADINHO SOUZA,35,comércio [s de qualquer meio] de água mineral engarrafada;comércio [s de qualquer meio] de alfinetes e agulhas [artigos de armarinho];comércio [s de qualquer meio] de s para animais;comércio [s de qualquer meio] de s para bebês;comércio [s de qualquer meio] de aparelhos [lâminas] de barbear;comércio [s de qualquer meio] de aparelhos de aquecimento;comércio [s de qualquer meio] de aparelhos de cozimento;comércio [s de qualquer meio] de armas brancas;comércio [s de qualquer meio] de artigos de cam,S
ACADEMIA GO UP,28,almofadas de proteção [partes de vestimentas desportivas];aparelho para tração [ginástica];aparelhos de ginástica;aparelhos para exercícios físicos;aparelhos para musculação;baliza para esporte;barra para praticar exercício;bastão para ginástica;bicicletas fixas para exercício;cavalete para salto [artigo para a prática de esportes];cinto para exercício;cintos de halterofilia [artigos desportivos];colchonete para musculação;corda de pular;cotoveleiras [artigos esportivos];extensores para exercíci,GO UP,25,vestuário *;,S
ACADEMIA GO UP,28,almofadas de proteção [partes de vestimentas desportivas];aparelho para tração [ginástica];aparelhos de ginástica;aparelhos para exercícios físicos;aparelhos para musculação;baliza para esporte;barra para praticar exercício;bastão para ginástica;bicicletas fixas para exercício;cavalete para salto [ para a prática de esportes];cinto para exercício;cintos de halterofilia [s desportivos];colchonete para musculação;corda de pular;cotoveleiras [s esportivos];extensores para exercícios;extensores peit,GO UP,35,comércio [através de qualquer meio] de s do vestuário;,S
MANGO BALNEÁRIO CAMBORIÚ,43,serviços de bar;serviços de s [];serviços de cantinas;serviços de lanchonetes;serviços de s;serviços de s de autosserviço;,DOCE MANGO,43,"alimentação natural e macrobiótica [serviços de fornecimento de comida e bebida];aluguel de salas de reunião;assessoria, consultoria e informação em culinária;assessoria, consultoria e informação relativa à produção de alimento;assessoria, consultoria e informação técnica em serviço de alimentação;assessoria, consultoria e informações sobre ;churrascaria [];cyber [fornecimento de comida e bebida];decoração de alimentos;decoração de bolos;distribuição de cestas básicas a pessoas carentes;fornecim",S
MADEIREIRA JM MADEIRAS EM GERAL - BRUTA E APARELHADAS,19,compensados de madeira;folhas de madeira compensada;madeira manufaturada;madeira moldável;madeira para compensados;madeira para construção;madeira semitrabalhada;madeira serrada;pavimentos de madeira;pranchas de madeira para construção;revestimentos de madeira;tábuas;tábuas de assoalho em madeira;,JM MARMORES E GRANITOS,37,"aparelhamento de placas de mármore, granito e ardósia;",S
MR NÁUTICA SERVIÇOS ELÉTRICOS,37,"serviços de , e de equipamentos náuticos, desde que incluídos nesta classe.;",MR DIREÇÃO HIDRÁULICA,37,"assessoria, consultoria e informação em e de veículos; personalizada de peças de veículos externas, internas e mecânicas [adaptação];lubrificação de veículos; de veículos;serviço de de panes em veículos;serviços de centro de diagnóstico de veículo [serviços de / de automóveis];",S
TPM TIRO PARA MULHERES,41,"agente artístico; literário e cultural [promotor de ];aluguel de equipamentos desportivos, exceto veículos;arbitragem esportiva;assessoria, consultoria e informação em atividades s e culturais;assessoria, consultoria e informação em treinamento [demonstração][ensino];cronometragem de s desportivos;empresário [ e produção de espetáculos];locação de espaços para prática de esporte;locutor de s; de [ ou ]; de s;orientação [treinamento];promotor de s [se artísticos/culturais];provimento de instalaçõ",TPM TODAS PARA O MAR,41,"de [ ou ]; de s; e realização de s esportivos;pesquisa na áreas de ;serviços de , prestados a título de assistência social;",S
ABC DAS EMOÇÕES,41,escola de desenvolvimento humano; intelectual e pessoal; aulas de desenvolvimento pessoal e profissional; serviços de coach.;,ABC SONS QUE ALFABETIZAM,41,cursos livres [ensino];provimento de e exame pedagógico [avaliação] para fins de certificação;,S
GOOD JACK,25,acessórios para []; agasalhos para as mãos; s de malha []; bandanas; bermudas; blazers []; s; cachecóis; dos *; dos em geral *; calcinhas; calções de banho; s; s; camisteas para a prática de esportes; capuzes []; s []; ceroulas; s []; chinelos [pantufas]; chinelos de banho; cintas [roupa íntima]; s []; s porta-moedas []; colarinhos []; colarinhos postiços; coletes; coletes [roupa íntima]; combinação [roupa íntima]; combinações []; corpete; cuecas; cuecas boxer; culotes para bebês; enxovais de be,JACK,25,"dos; s de , a saber, s, s, s para a , s; , a saber, aventais, s, s, tops, s s, s de golfe, s de moletom, s, s, s.;",S
MT VIAGENS & TURISMO,39,locação de automóveis - [consultoria em]; locação de automóveis; organização de cruzeiros [viagens] - [consultoria em]; organização de cruzeiros [viagens]; organização de para excursões - [consultoria em]; organização de para excursões; reserva de assentos para viagem - [consultoria em]; reserva de assentos para viagem; reservas para - [consultoria em]; reservas para ; reservas para viagens - [consultoria em]; reservas para viagens; serviços de para visitas turísticas - [consultoria em]; serviço,MT CAÇAMBA,39,coleta de bens recicláveis [];,S
MT AÇO,35,comércio (s de qualquer meio) de s de ;,MT MINERAL TRADING,35,"assessoria, consultoria e informação em gestão de negócios e comercialização de s sob contrato de franquia;assessoria, consultoria e informações sobre franchising [gestão comercial];comércio [s de qualquer meio] de artigos de ferragem;comércio [s de qualquer meio] de cabos e fios de comuns não elétricos;comércio [s de qualquer meio] de construções metálicas transportáveis;comércio [s de qualquer meio] de ferramentas manuais;comércio [s de qualquer meio] de imitações de couro;comércio [s de qualq",S
PORTO BURGER,35,"assessoria, consultoria e informação em gestão de negócios e empresas; comercialização de s sob contrato de franquia; franchising [sistema pelo qual empresa detentora de uma marca registrada, processo patenteado de produção ou direitos similares concede a outras empresas licença de utilização dessas marcas ou processos, sob certas condições ? administração de negócios]; gestão de franquia; assessoria, consultoria e informação ao consumidor sobre s e respectivos preços, s de websites, em conexão ",PORTO CARNES,35,comércio [s de qualquer meio] de animais vivos;comércio [s de qualquer meio] de s alimentícios [carnes vermelhas];comércio [s de qualquer meio] de s alimentícios [peixes];comércio [s de qualquer meio] de s alimentícios [refeições congeladas];supermercado [comércio de s];,S
PORTO BURGER,35,"assessoria, consultoria e informação em gestão de negócios e empresas; comercialização de produtos sob contrato de franquia; franchising [sistema pelo qual empresa detentora de uma marca registrada, processo patenteado de produção ou direitos similares concede a outras empresas licença de utilização dessas marcas ou processos, sob certas condições ? administração de negócios]; gestão de franquia; assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de w",PORTO CARNES,29,"almôndega;aperitivo à base de carne;atum, não vivo;aves não vivas;bacon;bucho comestível;camarões, não vivos;caranguejo;carne;carne de cabrito;carne de carneiro;carne de ovelha;carne de porco;carne de rã;carne de siri;carne de sol [carne salgada e seca ao sol];carne fresca;carne seca [carne salgada e seca];carnes salgadas;feijoada;feijões em conserva;fígado;hambúrguer de carne;hambúrguer de peixe;hambúrguer de soja;língua;lingüiça;lombo;salame;salsichas;salsichas de cachorro-quente;",S
CORE ODONTOMÉDICA,40,confecção de prótese dentária [protético];montagem de materiais sob encomenda de terceiros;protético [serviço técnico de odontologia];serviços de protéticos dentários;,CORE FISIOTERAPIA E PERFORMANCE,44,"aconselhamento em questões de saúde;aconselhamento médico para pessoas com deficiências;acupuntura;assessoria, consultoria e informação em massagem;assessoria, consultoria e informação no campo da saúde e da medicina;assessoria, consultoria e informação sobre cuidados médicos;assessoria, consultoria e informação sobre doenças mentais;consultoria em saúde ocupacional;estética facial e corporal;fisioterapia;quiroprática;quiroprática [sistema terapêutico que, partindo do pressuposto de que as doenç",S
SORVETES DA NANDA,30,creme de açaí congelado batido com xarope de guaraná;frozen yogurt [sorvete à base de iogurte];gelados comestíveis;iogurte congelado [sorvete à base de iogurte];iogurte gelado [sorvete à base de iogurte];picolés;sorvetes;,QUITANDA DA NANDA,35,"comércio [através de qualquer meio] de produtos alimentícios [cereais];comércio [através de qualquer meio] de produtos alimentícios [frutas, verduras e legumes];comércio [através de qualquer meio] de produtos alimentícios [grãos];",S
CMS GESSO SÃO JOSÉ,40,de materiais sob encomenda de terceiros (gesso) desde que incluídos nesta classe.;,CMS CONTAINERS E METALÚRGICA SORRISO,6,aço;aço fundido;aço galvanizado;andaimes de metal;assoalhos de metal;barris de metal;calhas de metal para telhados;canaletas de metal para telhados;canos de metal;canos de metal para calhas;cantoneiras de metal;cantoneiras de metal para móveis;chaminé metálica;chaminé metálica para coifas;chaminés de metal;chapa de alumínio;chapa metálica;chapas de aço;chapas e placas de metal;chapas grossas de ferro;coberturas de metal para chaminés;coberturas de metal para telhados;coifa metálica não elétrica ,S
MARI CALÇADOS,35,comércio (através de qualquer meio) de artigos do ; comércio (através de qualquer meio) de artigos ortopédicos; comércio (através de qualquer meio) de malas e bolsas de viagem; comércio (através de qualquer meio) de sapatos;,USE MARI,25,*;,S
PANIFICADORA E CONFEITARIA DA MARIA,30,baozi [pão recheado]; biscoitos; biscoitos amanteigados; biscoitos de água e sal; biscoitos de malte; bolachas; bolinhos ou biscoitos de amêndoas; bolo ou pão de gengibre; bolos; bombons; brioches; cheeseburgers [sanduíches]; confeitos *; doces [confeitos]; doces com hortelã-pimenta; doces*; empadas [tortas]; gelados comestíveis; massas alimentares; mousses de chocolate; pãezinhos; pão; pão de gengibre; pão sem fermento; pizzas; pudins; quiches; sanduíches; sobremesas sob a forma de mousse de ch,COMEDORIA DA MARIA,43,serviços de lanchonetes;,S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de s [];serviços de ;serviços de s;serviços de s;serviços de s de auto-serviço;,BREAD KING,43,decoração de alimentos;decoração de bolos;fornecimento de cestas de da manhã [serviços de alimentação];serviços de bar;serviços de s [];serviços de ;serviços de s;serviços de s;serviços de s de autosserviço;,S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de cafés [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,42,controle de qualidade;design de aplicativo de multimídia;design de homepage;design gráfico de material promocional;pesquisa científica;pesquisas tecnológicas;projeto de engenharia de qualquer natureza;,S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de cafés [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,31,"amêndoas [frutas];castanhas frescas;cereais em grãos, não processados;ervas frescas;frutas frescas;frutas, verduras e legumes frescos;grãos [cereais];grãos [sementes];hortaliças frescas;verdura in natura;",S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de cafés [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,40,beneficiamento de alimentos;congelamento de alimentos;conservação de alimentos e bebidas;,S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de cafés [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,35,"assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet; comércio [através de qualquer meio] de produtos alimentícios; comércio [através de qualquer meio] de bebidas alcoólicas; comércio [através de qualquer meio] de bebidas não alcoólicas; gestão e administração de negócios e empresas; gestão de franquias; publicidade; marketing; propaganda; comunicação; organização e realização de eventos para ",S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de cafés [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,29,"aves não vivas;banha de porco;carne;carne em conserva;carne enlatada;carne fresca;carne seca [carne salgada e seca];compotas;geleias para uso alimentar, exceto confeitos;iogurte;laticínios;leite;manteiga;margarina;ovos *;peixe em conserva;peixe em salmoura;peixe enlatado;pescado, não vivo;polpas de frutas;queijos;requeijão;",S
KING MASSAS DELÍCIAS GASTRONÔMICAS,43,serviços de bar;serviços de s [bares];serviços de cafeteria;serviços de lanchonetes;serviços de restaurantes;serviços de restaurantes de auto-serviço;,BREAD KING,30,"açaí na tigela [sorbet cremoso servido na tigela, à base de polpa congelada de açaí e xarope de guaraná];alcaçuz [confeito];alimentos à base de aveia;amêndoas torradas;amendoim doce;arroz-doce;baba-de-moça [doce à base principalmente de gema de ovo com leite de coco];bala comestível;balas;bebidas à base de cacau;bebidas à base de ;bebidas à base de chá;bebidas à base de chocolate;bebidas de cacau com leite;bebidas de com leite;bebidas de chocolate com leite;beijinho [doce à base de leite condens",S
MODA PINK,40,ateliê de costura;confecção de do sob encomenda;confecção de roupas;,PINK. EYEWEAR,35,comércio (através de qualquer meio) de armações;,S
SALUD CONGELADOS FIT ORGÃNICOS,35,"demonstração de s; provimento de mercado online para compradores e vendedores s e serviços; serviços de agências de importação-exportação; comércio [s de qualquer meio] de s s [s]; comércio [s de qualquer meio] de s s [s, s e s]; comércio [s de qualquer meio] de s s [s]; comércio [s de qualquer meio] de s s [s, e ]; comércio [s de qualquer meio] de s s [s]; comércio [s de qualquer meio] de s s []; assessoria, consultoria e informação ao consumidor sobre s e respectivos preços, s de websites, em ",SALUD IMPORTS,35,comércio [s de qualquer meio] de bebidas alcoólicas;comércio [s de qualquer meio] de bebidas não alcoólicas;comércio [s de qualquer meio] de óleos vegetais s;comércio [s de qualquer meio] de s s [ e ];comércio [s de qualquer meio] de s s [biscoitos];comércio [s de qualquer meio] de s s [bolos];comércio [s de qualquer meio] de s s [s vermelhas];comércio [s de qualquer meio] de s s [];comércio [s de qualquer meio] de s s [chocolates];comércio [s de qualquer meio] de s s [s];comércio [s de qualquer,S
DOCERIA FAVO DE MEL,35,"comercio, importação e exportação de bolos e doces.;",FAVO DE MEL PRIME,5,"preparados, complementos e suplementos alimentares à base de proteína;suplementos alimentares de proteína;suplementos alimentares para seres humanos;suplementos nutricionais;",S
MARMORARIA ZONA LESTE CAPIXABA,40,"lapidação de pedras, granitos e mármores; de pedras, granitos e mármores sob encomenda desde que incluídos nesta classe.;",CAPIXABA ACABAMENTOS,37,"assentamento de tijolos;assessoria, consultoria e informação em pintura de prédios;construção e reparação de obra civil;consultoria na área de construção civil;desentupimento e limpeza de cano e tubulação;instalação de portas e janelas;instalação de serviços básicos de infraestrutura em locais de construção;instalação e manutenção de instalações elétricas;instalação e manutenção de instalações hidráulicas;instalação e reparo de aparelhos elétricos;pintura, de interior e de exterior;reconstrução ",S
